instance,|V|,|A|,|B|,T,model,initialLP,yLP,yLPTime,zLP,zLPTime,wLP,wLPTime,maxFlowLP,maxFlowCuts,maxFlowCutsTime,cost,solverTime,relativeGAP,nodeCount,phase1Time,meters,tourMinutes,blocksMeters,numVisitedBlocks,intersectionCutsTime,intersectionCuts1,intersectionCuts2,
notified-alto-santo-1000-2016,180,796,73,120,PathCBRPIP,N/A,N/A,0,N/A,0,N/A,0,N/A,0,0,180,1.361875298,0,481,1.14832901954651,5940.79,35.755305,4474.02,10,0,0,0,841.833333333333
notified-alto-santo-1000-2017,180,796,73,120,PathCBRPIP,N/A,N/A,0,N/A,0,N/A,0,N/A,0,0,939,3.783861574,0,1194,0.0161979198455811,5745.03,75.854505,11206.16,27,0,0,0,
notified-alto-santo-1000-2018,180,796,73,120,PathCBRPIP,N/A,N/A,0,N/A,0,N/A,0,N/A,0,0,947,3.798559769,0,1194,0.0162129402160645,5745.03,75.854505,11206.16,27,0,0,0,
notified-alto-santo-1000-2019,180,796,73,120,PathCBRPIP,N/A,N/A,0,N/A,0,N/A,0,N/A,0,0,947,3.769495579,0,1194,0.0160231590270996,5745.03,75.854505,11206.16,27,0,0,0,
notified-alto-santo-1000-2020,180,796,73,120,PathCBRPIP,N/A,N/A,0,N/A,0,N/A,0,N/A,0,0,982,4.85033818,0,1494,0.0159039497375488,4635.42,74.19009,11206.16,27,0,0,0,
notified-alto-santo-1000-2021,180,796,73,120,PathCBRPIP,N/A,N/A,0,N/A,0,N/A,0,N/A,0,0,1056,21.566781479,0,10915,0.0156650543212891,7778.84,78.90522,11206.16,27,0,0,0,
notified-alto-santo-2000-2016,254,1062,88,120,PathCBRPIP,N/A,N/A,0,N/A,0,N/A,0,N/A,0,0,126,0.830009869,0,740,0.0207300186157227,8636.14,32.71425,3293.34,8,0,0,0,738
notified-alto-santo-2000-2017,254,1062,88,120,PathCBRPIP,N/A,N/A,0,N/A,0,N/A,0,N/A,0,0,832,1.969324195,0,973,0.0205991268157959,11628.07,82.391745,10824.94,26,0,0,0,
notified-alto-santo-2000-2018,254,1062,88,120,PathCBRPIP,N/A,N/A,0,N/A,0,N/A,0,N/A,0,0,832,1.971232686,0,973,0.0210919380187988,11628.07,82.391745,10824.94,26,0,0,0,
notified-alto-santo-2000-2019,254,1062,88,120,PathCBRPIP,N/A,N/A,0,N/A,0,N/A,0,N/A,0,0,832,1.992429472,0,973,0.0203380584716797,11628.07,82.391745,10824.94,26,0,0,0,
notified-alto-santo-2000-2020,254,1062,88,120,PathCBRPIP,N/A,N/A,0,N/A,0,N/A,0,N/A,0,0,861,1.957345466,0,974,0.0205299854278564,4180.29,71.220075,10824.94,26,0,0,0,
notified-alto-santo-2000-2021,254,1062,88,120,PathCBRPIP,N/A,N/A,0,N/A,0,N/A,0,N/A,0,0,945,3.557424558,0,2203,0.0206978321075439,6052.14,91.53603,13742.97,27,0,0,0,
notified-alto-santo-3000-2016,354,1488,114,120,PathCBRPIP,N/A,N/A,0,N/A,0,N/A,0,N/A,0,0,163,1.426548342,0,510,0.0279459953308105,11572.85,42.361095,4166.97,10,0,0,0,850.333333333333
notified-alto-santo-3000-2017,354,1488,114,120,PathCBRPIP,N/A,N/A,0,N/A,0,N/A,0,N/A,0,0,952,33.260107412,0,10191,0.0288288593292236,16088.37,94.476315,11723.96,28,0,0,0,
notified-alto-santo-3000-2018,354,1488,114,120,PathCBRPIP,N/A,N/A,0,N/A,0,N/A,0,N/A,0,0,952,33.643287202,0,10191,0.0290839672088623,16088.37,94.476315,11723.96,28,0,0,0,
notified-alto-santo-3000-2019,354,1488,114,120,PathCBRPIP,N/A,N/A,0,N/A,0,N/A,0,N/A,0,0,952,33.399939036,0,10191,0.0284230709075928,16088.37,94.476315,11723.96,28,0,0,0,
notified-alto-santo-3000-2020,354,1488,114,120,PathCBRPIP,N/A,N/A,0,N/A,0,N/A,0,N/A,0,0,988,6.211793927,0,1294,0.0288820266723633,15793.3,94.03371,11723.96,28,0,0,0,
notified-alto-santo-3000-2021,354,1488,114,120,PathCBRPIP,N/A,N/A,0,N/A,0,N/A,0,N/A,0,0,1095,105.746733315,0,72572,0.0281319618225098,5934.48,79.24548,11723.96,28,0,0,0,
