instance,|V|,|A|,|B|,T,model,initialLP,yLP,yLPTime,zLP,zLPTime,wLP,wLPTime,maxFlowLP,maxFlowCuts,maxFlowCutsTime,cost,solverTime,relativeGAP,nodeCount,phase1Time,meters,tourMinutes,blocksMeters,numVisitedBlocks,intersectionCutsTime,intersectionCuts1,intersectionCuts2,AVG Cost,AVG Time (s),AVG GAP
notified-limoeiro-1000-2015,373,1778,152,120,PathCBRPIP,N/A,N/A,0,N/A,0,N/A,0,N/A,0,0,91,108.078816866,0,41965,1.15541505813599,9058.4,45.88968,5383.68,12,0,0,0,410.428571428571,534.440094160857,0
notified-limoeiro-1000-2016,373,1778,152,120,PathCBRPIP,N/A,N/A,0,N/A,0,N/A,0,N/A,0,0,127,9.266739087,0,1664,0.0368568897247314,11033.64,58.82574,7045.88,16,0,0,0,,,
notified-limoeiro-1000-2017,373,1778,152,120,PathCBRPIP,N/A,N/A,0,N/A,0,N/A,0,N/A,0,0,245,3274.37758699,0,485285,0.0368821620941162,13828.14,91.78083,11839.77,26,0,0,0,,,
notified-limoeiro-1000-2018,373,1778,152,120,PathCBRPIP,N/A,N/A,0,N/A,0,N/A,0,N/A,0,0,253,52.311192736,0,13098,0.0400259494781494,14915.69,93.412155,11839.77,26,0,0,0,,,
notified-limoeiro-1000-2019,373,1778,152,120,PathCBRPIP,N/A,N/A,0,N/A,0,N/A,0,N/A,0,0,337,9.293519018,0,906,0.0404219627380371,16372.92,110.3625,14300.52,31,0,0,0,,,
notified-limoeiro-1000-2020,373,1778,152,120,PathCBRPIP,N/A,N/A,0,N/A,0,N/A,0,N/A,0,0,899,244.088620276,0,71957,0.0421409606933594,13659.72,144.77298,20713.9,45,0,0,0,,,
notified-limoeiro-1000-2021,373,1778,152,120,PathCBRPIP,N/A,N/A,0,N/A,0,N/A,0,N/A,0,0,921,43.664184153,0,9710,0.0411298274993897,15902.23,155.614485,21960.19,48,0,0,0,,,
notified-limoeiro-2000-2015,981,4564,443,120,PathCBRPIP,N/A,N/A,0,N/A,0,N/A,0,N/A,0,0,864,292.865971895,0,37440,0.107132911682129,24031.69,118.279215,13705.28,30,0,0,0,4929.14285714286,2277.26765385086,0.039531861941011
notified-limoeiro-2000-2016,981,4564,443,120,PathCBRPIP,N/A,N/A,0,N/A,0,N/A,0,N/A,0,0,1673,3283.985946617,0,547103,0.108237028121948,25159.46,146.85903,18186.64,40,0,0,0,,,
notified-limoeiro-2000-2017,981,4564,443,120,PathCBRPIP,N/A,N/A,0,N/A,0,N/A,0,N/A,0,0,2603,96.077084894,0,11859,0.112190008163452,24021.01,182.367735,24389.37,54,0,0,0,,,
notified-limoeiro-2000-2018,981,4564,443,120,PathCBRPIP,N/A,N/A,0,N/A,0,N/A,0,N/A,0,0,2686,1467.920837637,0,100448,0.107846975326538,26162.1,193.05591,25635.46,56,0,0,0,,,
notified-limoeiro-2000-2019,981,4564,443,120,PathCBRPIP,N/A,N/A,0,N/A,0,N/A,0,N/A,0,0,4329,3600.01164346,0.00115500115500113,474856,0.109845876693726,29675.22,214.67403,28360.2,62,0,0,0,,,
notified-limoeiro-2000-2020,981,4564,443,120,PathCBRPIP,N/A,N/A,0,N/A,0,N/A,0,N/A,0,0,10843,3600.005868203,0.000830028589873644,768237,0.111467838287354,30783.95,294.668625,41415.45,91,0,0,0,,,
notified-limoeiro-2000-2021,981,4564,443,120,PathCBRPIP,N/A,N/A,0,N/A,0,N/A,0,N/A,0,0,11506,3600.00622425,0.000782200590995995,292215,0.105036020278931,33159.68,305.27238,42588.81,94,0,0,0,,,
notified-limoeiro-3000-2015,1213,5546,517,120,PathCBRPIP,N/A,N/A,0,N/A,0,N/A,0,N/A,0,0,840,648.99195874,0,77867,0.119849920272827,29449.8,117.91734,12290.44,27,0,0,0,4931.57142857143,2131.41634819543,0.026864259532579
notified-limoeiro-3000-2016,1213,5546,517,120,PathCBRPIP,N/A,N/A,0,N/A,0,N/A,0,N/A,0,0,1692,88.606076424,0,8337,0.124082803726196,34635.69,169.205715,19542.03,39,0,0,0,,,
notified-limoeiro-3000-2017,1213,5546,517,120,PathCBRPIP,N/A,N/A,0,N/A,0,N/A,0,N/A,0,0,2587,3253.44089171,0,414786,0.121937036514282,28579.09,205.524075,27109.24,56,0,0,0,,,
notified-limoeiro-3000-2018,1213,5546,517,120,PathCBRPIP,N/A,N/A,0,N/A,0,N/A,0,N/A,0,0,2660,128.840964489,0,10379,0.122014999389648,32380.61,215.760675,27864.96,57,0,0,0,,,
notified-limoeiro-3000-2019,1213,5546,517,120,PathCBRPIP,N/A,N/A,0,N/A,0,N/A,0,N/A,0,0,4283,3600.007103301,0.00116740602381506,199938,0.124186992645264,34895.27,238.428105,31014.2,63,0,0,0,,,
notified-limoeiro-3000-2020,1213,5546,517,120,PathCBRPIP,N/A,N/A,0,N/A,0,N/A,0,N/A,0,0,10882,3600.014945626,0.000367579489064507,273122,0.124314069747925,41605.89,350.582535,48028.95,97,0,0,0,,,
notified-limoeiro-3000-2021,1213,5546,517,120,PathCBRPIP,N/A,N/A,0,N/A,0,N/A,0,N/A,0,0,11577,3600.012497078,0.000345512654400964,340199,0.123280048370361,42425.25,363.477855,49973.33,102,0,0,0,,,
