iteration,budget_T,num_blocks,num_positive_profit_blocks,num_serviced_blocks,terminal,cost,solverTime,relativeGAP,nodeCount,phase1Time,noFeasibleSolution,error_message
1,5.0,73,27,2,,208.00,0.26276511,0.0,17,0.6078948974609375,,
2,10.0,73,27,4,,345.00,600.003483563,0.03037007191432921,410894,0.009157896041870117,,
3,15.0,73,27,6,,462.00,600.00053475,0.06729920322776504,387103,0.06364893913269043,,
4,20.0,73,27,7,,578.00,600.000608761,0.013559456519936924,260501,0.013632774353027344,,
5,25.0,73,27,9,,662.00,339.592657288,0.0,184333,0.11126208305358887,,
6,30.0,73,27,11,,719.00,600.001620894,0.01777985329038703,245692,0.009394168853759766,,
7,35.0,73,27,13,,769.00,600.000530787,0.018043793389851844,240001,0.04450416564941406,,
8,40.0,73,27,15,,814.00,600.000599182,0.017455528321166428,200347,0.08635687828063965,,
9,45.0,73,27,17,,852.00,600.000558438,0.010628208561648865,267605,0.009559869766235352,,
10,50.0,73,27,19,,881.00,600.000470526,0.011780670863705591,161707,0.13695406913757324,,
11,55.0,73,27,21,,903.00,600.001785611,0.008800128479680489,216396,0.008900880813598633,,
12,60.0,73,27,24,,919.00,600.000630711,0.0022024932963600383,207871,0.0563960075378418,,
13,65.0,73,27,24,,927.00,600.00064973,0.004314994606256277,254643,0.010444879531860352,,
14,70.0,73,27,26,,935.00,600.000808615,0.0042780748663097026,172682,0.08398008346557617,,
15,75.0,73,27,27,all_positive_profit_blocks,939.00,3.684921515,0.0,1796,0.008730173110961914,,
