case_name,T_max,P_star
brkga-notified-limoeiro-1000-2016.txt,50.0,127.0
brkga-notified-limoeiro-1000-2017.txt,85.0,245.0
brkga-notified-limoeiro-1000-2018.txt,85.0,253.0
brkga-notified-limoeiro-1000-2019.txt,100.0,337.0
brkga-notified-limoeiro-1000-2020.txt,140.0,899.0
brkga-notified-limoeiro-1000-2021.txt,150.0,921.0
brkga-notified-limoeiro-2000-2016.txt,160.0,1673.0
brkga-notified-limoeiro-2000-2017.txt,220.0,2603.0
brkga-notified-limoeiro-2000-2018.txt,235.0,2686.0
brkga-notified-limoeiro-2000-2019.txt,270.0,4334.0
brkga-notified-limoeiro-2000-2020.txt,405.0,10848.0
brkga-notified-limoeiro-2000-2021.txt,400.0,11490.0
brkga-notified-limoeiro-3000-2016.txt,165.0,1688.0
brkga-notified-limoeiro-3000-2017.txt,245.0,2577.0
brkga-notified-limoeiro-3000-2018.txt,250.0,2656.0
brkga-notified-limoeiro-3000-2019.txt,285.0,4280.0
brkga-notified-limoeiro-3000-2020.txt,460.0,10822.0
brkga-notified-limoeiro-3000-2021.txt,480.0,11529.0
